time,Number_molcules_in_droplet
0,1058
0.001,1057.666667
0.002,1057.666667
0.003,1057.666667
0.004,1057.666667
0.005,1057.666667
0.006,1057.666667
0.007,1057.666667
0.008,1057.666667
0.009,1057.666667
0.01,1057.666667
0.011,1057.666667
0.012,1057.666667
0.013,1057.666667
0.014,1057.666667
0.015,1057.666667
0.016,1057.666667
0.017,1057.666667
0.018,1057.666667
0.019,1057.666667
0.02,1057.666667
0.021,1057.666667
0.022,1057.666667
0.023,1057.666667
0.024,1057.666667
0.025,1057.666667
0.026,1057.666667
0.027,1057.666667
0.028,1057.666667
0.029,1057.666667
0.03,1057.666667
0.031,1057.666667
0.032,1057.666667
0.033,1057.666667
0.034,1057.666667
0.035,1057.666667
0.036,1057.666667
0.037,1057.666667
0.038,1057.666667
0.039,1057.666667
0.04,1057.666667
0.041,1057.666667
0.042,1057.666667
0.043,1057.666667
0.044,1057.666667
0.045,1057.666667
0.046,1057.666667
0.047,1057.666667
0.048,1057.666667
0.049,1057.666667
0.05,1057.666667
0.051,1057.666667
0.052,1057.666667
0.053,1057.666667
0.054,1057.666667
0.055,1057.666667
0.056,1057.666667
0.057,1057.666667
0.058,1057.666667
0.059,1057.666667
0.06,1057.666667
0.061,1057.666667
0.062,1057.666667
0.063,1057.666667
0.064,1057.666667
0.065,1057.666667
0.066,1057.666667
0.067,1057.666667
0.068,1057.666667
0.069,1057.666667
0.07,1057.666667
0.071,1057.666667
0.072,1057.666667
0.073,1057.666667
0.074,1057.666667
0.075,1057.333333
0.076,1057.333333
0.077,1057.333333
0.078,1057.333333
0.079,1057.333333
0.08,1057.333333
0.081,1057.333333
0.082,1057.333333
0.083,1057.333333
0.084,1057.333333
0.085,1057.333333
0.086,1057.333333
0.087,1057.333333
0.088,1057.333333
0.089,1057.333333
0.09,1057.333333
0.091,1057.333333
0.092,1057.333333
0.093,1057.333333
0.094,1057.333333
0.095,1057.333333
0.096,1057.333333
0.097,1057.333333
0.098,1057.333333
0.099,1057.333333
0.1,1057.333333
0.101,1057.333333
0.102,1057.333333
0.103,1057.333333
0.104,1057.333333
0.105,1057.333333
0.106,1057.333333
0.107,1057.333333
0.108,1057.333333
0.109,1057.333333
0.11,1057
0.111,1057
0.112,1057
0.113,1057
0.114,1057
0.115,1057
0.116,1057
0.117,1057
0.118,1057
0.119,1057
0.12,1057
0.121,1057
0.122,1057
0.123,1057
0.124,1057
0.125,1057
0.126,1057
0.127,1057
0.128,1057
0.129,1057
0.13,1057
0.131,1057
0.132,1057
0.133,1057
0.134,1057
0.135,1057
0.136,1057
0.137,1057
0.138,1057
0.139,1056.666667
0.14,1056.666667
0.141,1056.666667
0.142,1056.666667
0.143,1056.666667
0.144,1056.666667
0.145,1056.666667
0.146,1056.666667
0.147,1056.666667
0.148,1056.666667
0.149,1056.666667
0.15,1056.666667
0.151,1056.666667
0.152,1056.666667
0.153,1056.666667
0.154,1056.666667
0.155,1056.666667
0.156,1056.666667
0.157,1056.666667
0.158,1056.666667
0.159,1056.666667
0.16,1056.666667
0.161,1056.666667
0.162,1056.666667
0.163,1056.666667
0.164,1056.666667
0.165,1056.666667
0.166,1056.666667
0.167,1056.666667
0.168,1056.666667
0.169,1056.666667
