time,Number_molcules_in_droplet
0,1058
0,1056
0.000063,1056
0.001063,1056
0.002063,1056
0.003063,1056
0.004063,1056
0.005063,1056
0.006063,1056
0.007063,1056
0.008063,1056
0.009063,1056
0.010063,1056
0.011063,1056
0.012063,1056
0.013063,1056
0.014063,1056
0.015063,1056
0.016063,1056
0.017063,1056
0.018063,1056
0.019063,1056
0.020063,1056
0.021063,1056
0.022063,1056
0.023063,1056
0.024063,1056
0.025063,1056
0.026063,1056
0.027063,1056
0.028063,1056
0.029063,1056
0.030063,1056
0.031063,1056
0.032063,1056
0.033063,1056
0.034063,1056
0.035063,1056
0.036063,1056
0.037063,1056
0.038063,1056
0.039063,1056
0.040063,1056
0.041063,1056
0.042063,1056
0.043063,1056
0.044063,1056
0.045063,1056
0.046063,1056
0.047063,1056
0.048063,1056
0.049063,1056
0.050063,1056
0.051063,1056
0.052063,1056
0.053063,1056
0.054063,1056
0.055063,1056
0.056063,1056
0.057063,1056
0.058063,1056
0.059063,1056
0.060063,1056
0.061063,1056
0.062063,1056
0.063063,1056
0.064063,1056
0.065063,1056
0.066063,1056
0.067063,1056
0.068063,1056
0.069063,1056
0.070063,1056
0.071063,1056
0.072063,1056
0.073063,1056
0.074063,1056
0.075063,1056
0.076063,1056
0.077063,1056
0.078063,1056
0.079063,1056
0.080063,1056
0.081063,1056
0.082063,1056
0.083063,1056
0.084063,1056
0.085063,1056
0.086063,1056
0.087063,1056
0.088063,1056
0.089063,1056
0.090063,1056
0.091063,1056
0.092063,1056
0.093063,1056
0.094063,1056
0.095063,1056
0.096063,1056
0.097063,1056
0.098063,1056
0.099063,1056
0.100063,1056
0.101063,1056
0.102063,1056
0.103063,1056
0.104063,1056
0.105063,1056
0.106063,1056
0.107063,1056
0.108063,1055
0.109063,1055
0.110063,1055
0.111063,1055
0.112063,1055
0.113063,1055
0.114063,1055
0.115063,1055
0.116063,1055
0.117063,1055
0.118063,1055
0.119063,1055
0.120063,1054
0.121063,1054
0.122063,1054
0.123063,1054
0.124063,1054
0.125063,1054
0.126063,1054
