time,Number_molcules_in_droplet
0,1058
0.000989,1058
0.000989,1058
0.001,1057.333333
0.002,1057.333333
0.003,1057.333333
0.004,1057.333333
0.005,1057.333333
0.006,1057.333333
0.007,1057.333333
0.008,1057.333333
0.009,1057.333333
0.01,1057.333333
0.011,1057.333333
0.012,1057.333333
0.013,1057.333333
0.014,1057.333333
0.015,1057.333333
0.016,1057.333333
0.017,1057.333333
0.018,1057.333333
0.019,1057.333333
0.02,1057.333333
0.021,1057.333333
0.022,1057.333333
0.023,1057.333333
0.024,1057.333333
0.025,1057.333333
0.026,1057.333333
0.027,1057.333333
0.028,1057.333333
0.029,1057.333333
0.03,1057.333333
0.031,1057.333333
0.032,1057.333333
0.033,1057.333333
0.034,1057.333333
0.035,1057.333333
0.036,1057.333333
0.037,1057.333333
0.038,1057.333333
0.039,1057.333333
0.04,1057.333333
0.041,1057.333333
0.042,1057.333333
0.043,1057.333333
0.044,1057.333333
0.045,1057.333333
0.046,1057.333333
0.047,1057.333333
0.048,1057.333333
0.049,1057.333333
0.05,1057.333333
0.051,1057.333333
0.052,1057.333333
0.053,1057.333333
0.054,1057.333333
0.055,1057.333333
0.056,1057.333333
0.057,1057.333333
0.058,1057.333333
0.059,1057.333333
0.06,1057.333333
0.061,1057.333333
0.062,1057.333333
0.063,1057.333333
0.064,1057.333333
0.065,1057.333333
0.066,1057.333333
0.067,1057.333333
0.068,1057.333333
0.069,1057.333333
0.07,1057.333333
0.071,1057.333333
0.072,1057.333333
0.073,1057.333333
0.074,1057.333333
0.075,1057.333333
0.076,1057.333333
0.077,1057.333333
0.078,1057.333333
0.079,1057.333333
0.08,1057.333333
0.081,1057.333333
0.082,1057.333333
0.083,1057.333333
0.084,1057.333333
0.085,1057.333333
0.086,1057.333333
0.087,1057.333333
0.088,1057.333333
0.089,1057.333333
0.09,1057.333333
0.091,1057.333333
0.092,1057.333333
0.093,1057.333333
0.094,1057.333333
0.095,1057.333333
0.096,1057.333333
0.097,1057.333333
0.098,1057.333333
0.099,1057.333333
0.1,1057.333333
0.100989,1057.333333
0.100989,1057.333333
0.101,1057.333333
0.102,1057.333333
0.103,1057.333333
0.104,1057.333333
0.105,1057.333333
0.106,1057.333333
0.107,1057.333333
0.108,1057.333333
0.109,1057.333333
0.11,1057.333333
0.111,1057.333333
0.112,1057.333333
0.113,1057
0.114,1057
0.115,1057
0.116,1057
0.117,1057
0.118,1057
0.119,1057
0.12,1057
0.121,1057
0.122,1056.666667
0.123,1056.666667
0.124,1056.666667
0.125,1056.666667
0.126,1056.666667
0.127,1056.666667
0.128,1056.666667
0.129,1056.666667
0.13,1056.666667
0.131,1056.666667
0.132,1056.666667
0.133,1056.666667
0.134,1056.666667
0.135,1056.666667
0.136,1056.666667
0.137,1056.666667
0.138,1056.666667
0.139,1056.666667
0.14,1056.666667
0.141,1056.666667
0.142,1056.666667
0.143,1056.666667
0.144,1056.333333
0.145,1056.333333
0.146,1056.333333
0.147,1056.333333
0.148,1056.333333
0.149,1056
0.15,1056
0.151,1056
0.152,1056
0.153,1056
0.154,1056
0.155,1056
0.156,1056
0.157,1056
0.158,1056
0.159,1056
0.16,1056
0.161,1056
0.162,1056
0.163,1056
0.164,1056
0.165,1056
0.166,1056
0.167,1056
0.168,1056
0.169,1056
0.17,1056
0.171,1056
0.172,1056
0.173,1056
0.174,1056
0.175,1056
0.176,1056
0.177,1056
0.178,1056
0.179,1056
0.18,1056
0.181,1056
0.182,1056
0.183,1056
0.184,1056
0.185,1056
0.186,1056
0.187,1056
0.188,1056
0.189,1056
0.19,1056
0.191,1056
0.192,1056
0.193,1056
0.194,1056
0.195,1056
0.196,1056
0.197,1056
0.198,1056
0.199,1056
0.2,1056
0.200989,1056
0.200989,1056
0.201,1056
0.202,1056
0.203,1056
0.204,1056
0.205,1056
0.206,1056
0.207,1056
0.208,1056
0.209,1056
0.21,1056
0.211,1056
0.212,1056
0.213,1056
0.214,1056
0.215,1056
0.216,1056
0.217,1056
0.218,1056
0.219,1056
0.22,1056
0.221,1056
0.222,1055.666667
0.223,1055.666667
0.224,1055.666667
0.225,1055.666667
0.226,1055.666667
0.227,1055.666667
0.228,1055.666667
0.229,1055.666667
0.23,1055.666667
0.231,1055.666667
0.232,1055.666667
0.233,1055.666667
0.234,1055.666667
0.235,1055.666667
0.236,1055.666667
0.237,1055.666667
0.238,1055.666667
0.239,1055.666667
0.24,1055.666667
0.241,1055.666667
0.242,1055.666667
0.243,1055.666667
0.244,1055.666667
0.245,1055.666667
0.246,1055.666667
0.247,1055.666667
0.248,1055.666667
0.249,1055.666667
0.25,1055.666667
0.251,1055.666667
0.252,1055.666667
0.253,1055.666667
0.254,1055.666667
0.255,1055.666667
0.256,1055.666667
0.257,1055.666667
0.258,1055.666667
0.259,1055.666667
0.26,1055.666667
0.261,1055.666667
0.262,1055.666667
0.263,1055.666667
0.264,1055.666667
0.265,1055.666667
0.266,1055.666667
0.267,1055.666667
0.268,1055.666667
0.269,1055.666667
0.27,1055.666667
0.271,1055.666667
0.272,1055.666667
0.273,1055.666667
0.274,1055.666667
0.275,1055.666667
0.276,1055.666667
0.277,1055.666667
0.278,1055.666667
0.279,1055.666667
0.28,1055.666667
0.281,1055.666667
0.282,1055.666667
0.283,1055.666667
0.284,1055.666667
0.285,1055.666667
0.286,1055.666667
0.287,1055.666667
0.288,1055.666667
0.289,1055.666667
0.29,1055.666667
0.291,1055.666667
0.292,1055.666667
0.293,1055.666667
0.294,1055.666667
0.295,1055.666667
0.296,1055.666667
0.297,1055.666667
0.298,1055.666667
0.299,1055.666667
0.3,1055.666667
0.300989,1055.666667
0.300989,1055.666667
0.301,1055.666667
0.302,1055.666667
0.303,1055.666667
0.304,1055.666667
0.305,1055.666667
0.306,1055.666667
0.307,1055.666667
0.308,1055.666667
0.309,1055.666667
0.31,1055.666667
0.311,1055.666667
0.312,1055.666667
0.313,1055.666667
0.314,1055.666667
0.315,1055.666667
0.316,1055.666667
0.317,1055.666667
0.318,1055.666667
0.319,1055.666667
0.32,1055.666667
0.321,1055.666667
0.322,1055.666667
0.323,1055.666667
0.324,1055.666667
0.325,1055.666667
0.326,1055.666667
0.327,1055.666667
0.328,1055.666667
0.329,1055.666667
0.33,1055.666667
0.331,1055.666667
0.332,1055.666667
0.333,1055.666667
0.334,1055.666667
0.335,1055.666667
0.336,1055.666667
0.337,1055.666667
0.338,1055.666667
0.339,1055.666667
0.34,1055.666667
0.341,1055.666667
