time,Number_molcules_in_droplet
0,1058
0.000018,1056
0.001018,1056
0.002018,1056
0.003018,1056
0.004018,1056
0.005018,1056
0.006018,1056
0.007018,1056
0.008018,1056
0.009018,1056
0.010018,1056
0.011018,1056
0.012018,1056
0.013018,1056
0.014018,1056
0.015018,1056
0.016018,1056
0.017018,1056
0.018018,1056
0.019018,1056
0.020018,1056
0.021018,1056
0.022018,1056
0.023018,1056
0.024018,1056
0.025018,1056
0.026018,1056
0.027018,1056
0.028018,1056
0.029018,1056
0.030018,1056
0.031018,1056
0.032018,1056
0.033018,1056
0.034018,1056
0.035018,1056
0.036018,1056
0.037018,1056
0.038018,1056
0.039018,1056
0.040018,1056
0.041018,1056
0.042018,1056
0.043018,1056
0.044018,1056
0.045018,1056
0.046018,1056
0.047018,1056
0.048018,1056
0.049018,1056
0.050018,1056
0.051018,1056
0.052018,1056
0.053018,1056
0.054018,1056
0.055018,1056
0.056018,1056
0.057018,1056
0.058018,1056
0.059018,1056
0.060018,1056
0.061018,1056
0.062018,1056
0.063018,1056
0.064018,1056
0.065018,1056
0.066018,1056
0.067018,1056
0.068018,1056
0.069018,1056
0.070018,1056
0.071018,1055
0.072018,1055
0.073018,1055
0.074018,1055
0.075018,1055
0.076018,1055
0.077018,1055
0.078018,1055
0.079018,1055
0.080018,1055
0.081018,1055
0.082018,1055
0.083018,1055
0.084018,1055
0.085018,1055
0.086018,1055
0.087018,1055
0.088018,1055
0.089018,1055
0.090018,1055
0.091018,1055
0.092018,1055
0.093018,1055
0.094018,1055
0.095018,1055
0.096018,1055
0.097018,1055
0.098018,1055
0.099018,1055
0.100018,1055
0.101018,1055
0.102018,1055
0.103018,1055
0.104018,1055
0.105018,1055
0.106018,1055
0.107018,1055
0.108018,1055
0.109018,1055
0.110018,1055
0.111018,1055
0.112018,1055
0.113018,1055
0.114018,1055
0.115018,1055
0.116018,1055
0.117018,1055
0.118018,1055
0.119018,1055
0.120018,1055
0.121018,1055
0.122018,1055
0.123018,1055
0.124018,1055
0.125018,1055
0.126018,1055
0.127018,1055
0.128018,1055
0.129018,1055
0.130018,1055
0.131018,1055
0.132018,1055
0.133018,1055
0.134018,1055
0.135018,1055
0.136018,1055
0.137018,1055
0.138018,1055
0.139018,1055
0.140018,1055
0.141018,1055
0.142018,1055
0.143018,1055
0.144018,1055
0.145018,1055
0.146018,1055
0.147018,1055
0.148018,1055
0.149018,1055
0.150018,1055
0.151018,1055
0.152018,1055
0.153018,1055
0.154018,1055
0.155018,1055
0.156018,1055
0.157018,1055
0.158018,1055
0.159018,1055
0.160018,1055
0.161018,1055
0.162018,1055
0.163018,1055
0.164018,1055
0.165018,1055
0.166018,1055
0.167018,1055
0.168018,1055
0.169018,1055
0.170018,1055
0.171018,1055
0.172018,1055
0.173018,1055
0.174018,1055
0.175018,1055
0.176018,1055
0.177018,1055
0.178018,1055
0.179018,1055
0.180018,1055
0.181018,1055
0.182018,1055
0.183018,1055
0.184018,1055
0.185018,1055
0.186018,1055
0.187018,1055
0.188018,1055
0.189018,1055
0.190018,1055
0.191018,1055
0.192018,1055
0.193018,1055
0.194018,1055
0.195018,1055
0.196018,1055
0.197018,1055
0.198018,1055
0.199018,1055
0.200018,1055
0.201018,1055
0.202018,1055
0.203018,1055
0.204018,1055
0.205018,1055
0.206018,1055
