time,Number_molcules_in_droplet
0,1058
0.001,1058
0.002,1058
0.003,1058
0.004,1058
0.005,1058
0.006,1058
0.007,1058
0.008,1058
0.009,1058
0.01,1058
0.011,1058
0.012,1058
0.013,1058
0.014,1058
0.015,1058
0.016,1058
0.017,1058
0.018,1058
0.019,1058
0.02,1058
0.021,1058
0.022,1058
0.023,1058
0.024,1058
0.025,1058
0.026,1058
0.027,1058
0.028,1058
0.029,1058
0.03,1058
0.031,1058
0.032,1058
0.033,1058
0.034,1058
0.035,1058
0.036,1058
0.037,1058
0.038,1058
0.039,1058
0.04,1058
0.041,1058
0.042,1058
0.043,1058
0.044,1058
0.045,1058
0.046,1058
0.047,1058
0.048,1058
0.049,1058
0.05,1058
0.051,1058
0.052,1058
0.053,1058
0.054,1058
0.055,1058
0.056,1058
0.057,1058
0.058,1058
0.059,1058
0.06,1058
0.061,1058
0.062,1058
0.063,1058
0.064,1058
0.065,1058
0.066,1058
0.067,1058
0.068,1058
0.069,1058
0.07,1058
0.071,1058
0.072,1058
0.073,1058
0.074,1058
0.075,1058
0.076,1058
0.077,1058
0.078,1058
0.079,1058
0.08,1058
0.081,1058
0.082,1058
0.083,1058
0.084,1058
0.085,1058
0.086,1058
0.087,1058
0.088,1058
0.089,1058
0.09,1058
0.091,1058
0.092,1058
0.093,1058
0.094,1058
0.095,1058
0.096,1058
0.097,1058
0.098,1058
0.099,1058
0.1,1058
0.101,1058
0.102,1058
0.103,1058
0.104,1058
0.105,1058
0.106,1058
0.107,1058
0.108,1058
0.109,1058
0.11,1058
0.111,1058
0.112,1058
0.113,1058
0.114,1058
0.115,1058
0.116,1058
0.117,1058
0.118,1058
0.119,1058
0.12,1058
0.121,1058
0.122,1058
0.123,1058
0.124,1058
0.125,1058
0.126,1058
0.127,1058
0.128,1058
0.129,1058
0.13,1058
0.131,1058
0.132,1058
0.133,1058
0.134,1058
0.135,1058
0.136,1058
0.137,1058
0.138,1058
0.139,1058
0.14,1058
0.141,1058
0.142,1058
0.143,1057.666667
0.144,1057.666667
0.145,1057.666667
0.146,1057.666667
0.147,1057.666667
0.148,1057.666667
0.149,1057.666667
0.15,1057.666667
0.151,1057.666667
0.152,1057.666667
0.153,1057.666667
0.154,1057.666667
0.155,1057.666667
0.156,1057.666667
0.157,1057.666667
0.158,1057.666667
0.159,1057.666667
0.16,1057.333333
0.161,1057.333333
0.162,1057.333333
0.163,1057.333333
0.164,1057.333333
0.165,1057.333333
0.166,1057.333333
0.167,1057.333333
0.168,1057.333333
0.169,1057.333333
0.17,1057.333333
0.171,1057.333333
0.172,1057.333333
0.173,1057.333333
0.174,1057.333333
0.175,1057.333333
0.176,1057.333333
0.177,1057.333333
0.178,1057.333333
0.179,1057.333333
0.18,1057.333333
0.181,1057.333333
0.182,1057.333333
0.183,1057.333333
0.184,1057.333333
0.185,1057.333333
0.186,1057.333333
0.187,1057.333333
0.188,1057.333333
0.189,1057.333333
0.19,1057.333333
0.191,1057.333333
0.192,1057.333333
0.193,1057.333333
0.194,1057.333333
0.195,1057.333333
0.196,1057.333333
0.197,1057.333333
0.198,1057.333333
0.199,1057.333333
0.2,1057.333333
0.201,1057.333333
0.202,1057.333333
0.203,1057.333333
0.204,1057.333333
0.205,1057.333333
0.206,1057.333333
0.207,1057.333333
0.208,1057.333333
0.209,1057.333333
0.21,1057.333333
0.211,1057.333333
0.212,1057.333333
0.213,1057.333333
0.214,1057.333333
0.215,1057.333333
0.216,1057.333333
0.217,1057.333333
0.218,1057.333333
0.219,1057.333333
0.22,1057.333333
0.221,1057.333333
0.222,1057.333333
0.223,1057.333333
0.224,1057.333333
0.225,1057.333333
0.226,1057.333333
0.227,1057.333333
0.228,1057.333333
0.229,1057.333333
0.23,1057.333333
0.231,1057.333333
0.232,1057.333333
0.233,1057.333333
0.234,1057.333333
0.235,1057.333333
0.236,1057.333333
0.237,1057.333333
0.238,1057.333333
0.239,1057.333333
0.24,1057.333333
0.241,1057.333333
0.242,1057.333333
0.243,1057.333333
0.244,1057.333333
0.245,1057.333333
0.246,1057.333333
0.247,1057.333333
0.248,1057.333333
0.249,1057.333333
0.25,1057.333333
0.251,1057.333333
0.252,1057.333333
0.253,1057.333333
0.254,1057.333333
0.255,1057.333333
0.256,1057.333333
0.257,1057.333333
0.258,1057.333333
0.259,1057.333333
0.26,1057.333333
0.261,1057.333333
0.262,1057.333333
0.263,1057.333333
0.264,1057.333333
0.265,1057.333333
0.266,1057.333333
0.267,1057.333333
0.268,1057.333333
0.269,1057.333333
0.27,1057.333333
0.271,1057.333333
0.272,1057.333333
0.273,1057.333333
0.274,1057.333333
0.275,1057.333333
0.276,1057.333333
0.277,1057.333333
0.278,1057.333333
0.279,1057.333333
0.28,1057.333333
0.281,1057.333333
0.282,1057.333333
0.283,1057.333333
0.284,1057.333333
0.285,1057.333333
0.286,1057.333333
0.287,1057.333333
0.288,1057.333333
0.289,1057.333333
0.29,1057.333333
0.291,1057.333333
0.292,1057.333333
0.293,1057.333333
0.294,1057.333333
0.295,1057
0.296,1057
0.297,1057
0.298,1056.666667
0.299,1056.666667
0.3,1056.666667
0.301,1056.666667
0.302,1056.666667
0.303,1056.666667
0.304,1056.666667
0.305,1056.666667
0.306,1056.666667
0.307,1056.666667
0.308,1056.666667
0.309,1056.666667
0.31,1056.666667
0.311,1056.666667
0.312,1056.666667
0.313,1056.666667
0.314,1056.666667
0.315,1056.666667
0.316,1056.666667
0.317,1056.666667
0.318,1056.666667
0.319,1056.666667
0.32,1056.666667
0.321,1056.666667
