time,Number_molcules_in_droplet
0,1058
0.001,1058
0.002,1058
0.003,1058
0.004,1058
0.005,1058
0.006,1058
0.007,1057.666667
0.008,1057.666667
0.009,1057.666667
0.01,1057.666667
0.011,1057.666667
0.012,1057.666667
0.013,1057.666667
0.014,1057.666667
0.015,1057.666667
0.016,1057.666667
0.017,1057.666667
0.018,1057.666667
0.019,1057.666667
0.02,1057.666667
0.021,1057.666667
0.022,1057.666667
0.023,1057.666667
0.024,1057.666667
0.025,1057.666667
0.026,1057.666667
0.027,1057.666667
0.028,1057.666667
0.029,1057.666667
0.03,1057.666667
0.031,1057.666667
0.032,1057.666667
0.033,1057.666667
0.034,1057.666667
0.035,1057.666667
0.036,1057.666667
0.037,1057.666667
0.038,1057.666667
0.039,1057.666667
0.04,1057.666667
0.041,1057.666667
0.042,1057.666667
0.043,1057.666667
0.044,1057.666667
0.045,1057.666667
0.046,1057.666667
0.047,1057.666667
0.048,1057.666667
0.049,1057.666667
0.05,1057.666667
0.051,1057.666667
0.052,1057.666667
0.053,1057.666667
0.054,1057.666667
0.055,1057.666667
0.056,1057.666667
0.057,1057.666667
0.058,1057.666667
0.059,1057.666667
0.06,1057.666667
0.061,1057.666667
0.062,1057.666667
0.063,1057.666667
0.064,1057.666667
0.065,1057.666667
0.066,1057.666667
0.067,1057.666667
0.068,1057.666667
0.069,1057.666667
0.07,1057.666667
0.071,1057.666667
0.072,1057.666667
0.073,1057.666667
0.074,1057.666667
0.075,1057.666667
0.076,1057.666667
0.077,1057.666667
0.078,1057.666667
0.079,1057.666667
0.08,1057.666667
0.081,1057.666667
0.082,1057.666667
0.083,1057.666667
0.084,1057.666667
0.085,1057.666667
0.086,1057.666667
0.087,1057.666667
0.088,1057.666667
0.089,1057.666667
0.09,1057.666667
0.091,1057.666667
0.092,1057.666667
0.093,1057.666667
0.094,1057.666667
0.095,1057.666667
0.096,1057.666667
0.097,1057.666667
0.098,1057.666667
0.099,1057.666667
0.1,1057.666667
0.101,1057.666667
0.102,1057.666667
0.103,1057.666667
0.104,1057.333333
0.105,1057.333333
0.106,1057.333333
0.107,1057.333333
0.108,1057.333333
0.109,1057.333333
0.11,1057.333333
0.111,1057.333333
0.112,1057.333333
0.113,1057.333333
0.114,1057.333333
0.115,1057.333333
0.116,1057.333333
0.117,1057.333333
0.118,1057.333333
0.119,1057.333333
0.12,1057.333333
0.121,1057.333333
0.122,1057.333333
0.123,1057.333333
0.124,1057.333333
0.125,1057.333333
0.126,1057.333333
0.127,1057.333333
0.128,1057.333333
0.129,1057.333333
0.13,1057.333333
0.131,1057.333333
0.132,1057.333333
0.133,1057.333333
0.134,1057.333333
0.135,1057.333333
0.136,1057.333333
0.137,1057.333333
0.138,1057.333333
0.139,1057.333333
0.14,1057.333333
0.141,1057.333333
0.142,1057.333333
0.143,1057.333333
0.144,1057.333333
0.145,1057.333333
0.146,1057.333333
0.147,1057.333333
0.148,1057.333333
0.149,1057.333333
0.15,1057.333333
0.151,1057.333333
0.152,1057.333333
0.153,1057.333333
0.154,1057.333333
0.155,1057.333333
0.156,1057.333333
0.157,1057.333333
0.158,1057.333333
0.159,1057.333333
0.16,1057.333333
0.161,1057.333333
0.162,1057.333333
0.163,1057.333333
0.164,1057.333333
0.165,1057.333333
0.166,1057.333333
0.167,1057.333333
0.168,1057.333333
0.169,1057.333333
0.17,1057.333333
0.171,1057.333333
0.172,1057.333333
0.173,1057.333333
0.174,1057.333333
0.175,1057.333333
0.176,1057.333333
0.177,1057.333333
0.178,1057.333333
0.179,1057.333333
0.18,1057.333333
0.181,1057.333333
0.182,1057.333333
0.183,1057.333333
0.184,1057.333333
0.185,1057.333333
0.186,1057.333333
0.187,1057.333333
0.188,1057.333333
0.189,1057.333333
0.19,1057.333333
0.191,1057.333333
0.192,1057.333333
0.193,1057.333333
0.194,1057.333333
0.195,1057.333333
0.196,1057.333333
0.197,1057.333333
0.198,1057.333333
0.199,1057.333333
0.2,1057.333333
0.201,1057.333333
0.202,1057.333333
0.203,1057.333333
0.204,1057.333333
0.205,1057.333333
0.206,1057.333333
0.207,1057.333333
0.208,1057.333333
0.209,1057.333333
0.21,1057.333333
0.211,1057.333333
0.212,1057.333333
0.213,1057.333333
0.214,1057.333333
0.215,1057.333333
0.216,1057.333333
0.217,1057.333333
0.218,1057.333333
0.219,1057.333333
0.22,1057.333333
0.221,1057.333333
0.222,1057.333333
0.223,1057.333333
0.224,1057.333333
0.225,1057.333333
0.226,1057.333333
0.227,1057.333333
0.228,1057.333333
0.229,1057.333333
0.23,1057.333333
0.231,1057.333333
0.232,1057.333333
0.233,1057.333333
0.234,1057.333333
0.235,1057.333333
0.236,1057.333333
0.237,1057.333333
0.238,1057.333333
0.239,1057.333333
0.24,1057.333333
0.241,1057.333333
0.242,1057.333333
0.243,1057.333333
0.244,1057.333333
0.245,1057.333333
0.246,1057.333333
0.247,1057.333333
0.248,1057.333333
0.249,1057.333333
0.25,1057.333333
0.251,1057.333333
0.252,1057.333333
0.253,1057.333333
0.254,1057.333333
0.255,1057.333333
0.256,1057.333333
0.257,1057.333333
0.258,1057.333333
0.259,1057.333333
0.26,1057.333333
0.261,1057.333333
0.262,1057.333333
0.263,1057.333333
0.264,1057.333333
0.265,1057.333333
0.266,1057.333333
0.267,1057.333333
0.268,1057.333333
0.269,1057.333333
0.27,1057.333333
0.271,1057.333333
0.272,1057.333333
0.273,1057.333333
0.274,1057.333333
0.275,1057.333333
0.276,1057.333333
0.277,1057.333333
0.278,1057.333333
0.279,1057.333333
