time,Number_molcules_in_droplet
0,1058
0.000989,1058
0.000989,1058
0.001,1057
0.002,1057
0.003,1057
0.004,1057
0.005,1057
0.006,1057
0.007,1057
0.008,1057
0.009,1057
0.01,1057
0.011,1057
0.012,1056.666667
0.013,1056.666667
0.014,1056.666667
0.015,1056.666667
0.016,1056.666667
0.017,1056.666667
0.018,1056.666667
0.019,1056.666667
0.02,1056.666667
0.021,1056.666667
0.022,1056.666667
0.023,1056.666667
0.024,1056.666667
0.025,1056.666667
0.026,1056.666667
0.027,1056.666667
0.028,1056.666667
0.029,1056.666667
0.03,1056.666667
0.031,1056.666667
0.032,1056.666667
0.033,1056.666667
0.034,1056.666667
0.035,1056.666667
0.036,1056.666667
0.037,1056.666667
0.038,1056.666667
0.039,1056.666667
0.04,1056.666667
0.041,1056.666667
0.042,1056.666667
0.043,1056.666667
0.044,1056.666667
0.045,1056.666667
0.046,1056.666667
0.047,1056.666667
0.048,1056.666667
0.049,1056.666667
0.05,1056.666667
0.051,1056.666667
0.052,1056.666667
0.053,1056.666667
0.054,1056.666667
0.055,1056.666667
0.056,1056.666667
0.057,1056.666667
0.058,1056.666667
0.059,1056.666667
0.06,1056.666667
0.061,1056.666667
0.062,1056.666667
0.063,1056.666667
0.064,1056.666667
0.065,1056.666667
0.066,1056.666667
0.067,1056.666667
0.068,1056.666667
0.069,1056.666667
0.07,1056.666667
0.071,1056.666667
0.072,1056.666667
0.073,1056.666667
0.074,1056.666667
0.075,1056.666667
0.076,1056.666667
0.077,1056.666667
0.078,1056.666667
0.079,1056.666667
0.08,1056.666667
0.081,1056.666667
0.082,1056.666667
0.083,1056.666667
0.084,1056.666667
0.085,1056.666667
0.086,1056.666667
0.087,1056.666667
0.088,1056.666667
0.089,1056.666667
0.09,1056.666667
0.091,1056.666667
0.092,1056.666667
0.093,1056.666667
0.094,1056.666667
0.095,1056.666667
0.096,1056.666667
0.097,1056.666667
0.098,1056.666667
0.099,1056.666667
0.1,1056.666667
0.100989,1056.666667
0.100989,1056.666667
0.101,1056.666667
0.102,1056.666667
0.103,1056.666667
0.104,1056.666667
0.105,1056.666667
0.106,1056.666667
0.107,1056.666667
0.108,1056.666667
0.109,1056.666667
0.11,1056.666667
0.111,1056.666667
0.112,1056.666667
0.113,1056.666667
0.114,1056.666667
0.115,1056.666667
0.116,1056.666667
0.117,1056.666667
0.118,1056.666667
0.119,1056.666667
0.12,1056.666667
0.121,1056.666667
0.122,1056.666667
0.123,1056.666667
0.124,1056.666667
0.125,1056.666667
0.126,1056.666667
0.127,1056.666667
0.128,1056.333333
0.129,1056.333333
0.13,1056.333333
0.131,1056.333333
0.132,1056.333333
0.133,1056.333333
0.134,1056.333333
0.135,1056.333333
0.136,1056.333333
0.137,1056.333333
0.138,1056.333333
0.139,1056.333333
0.14,1056.333333
0.141,1056.333333
0.142,1056.333333
0.143,1056.333333
0.144,1056.333333
0.145,1056.333333
0.146,1056.333333
0.147,1056.333333
0.148,1056.333333
0.149,1056.333333
0.15,1056.333333
0.151,1056.333333
0.152,1056.333333
0.153,1056.333333
0.154,1056.333333
0.155,1056.333333
0.156,1056.333333
0.157,1056.333333
0.158,1056.333333
0.159,1056.333333
0.16,1056.333333
0.161,1056.333333
0.162,1056.333333
0.163,1056.333333
0.164,1056.333333
0.165,1056.333333
0.166,1056.333333
0.167,1056.333333
0.168,1056.333333
0.169,1056.333333
0.17,1056.333333
0.171,1056.333333
0.172,1056.333333
0.173,1056.333333
0.174,1056.333333
0.175,1056.333333
0.176,1056.333333
0.177,1056.333333
0.178,1056.333333
0.179,1056.333333
0.18,1056.333333
0.181,1056.333333
0.182,1056.333333
0.183,1056.333333
0.184,1056.333333
0.185,1056.333333
0.186,1056.333333
0.187,1056.333333
0.188,1056.333333
0.189,1056.333333
0.19,1056.333333
0.191,1056.333333
0.192,1056.333333
0.193,1056.333333
0.194,1056.333333
0.195,1056.333333
0.196,1056.333333
0.197,1056.333333
0.198,1056.333333
0.199,1056.333333
0.2,1056.333333
0.200989,1056.333333
0.200989,1056.333333
0.201,1056.333333
0.202,1056.333333
0.203,1056.333333
0.204,1056.333333
0.205,1056.333333
0.206,1056.333333
0.207,1056.333333
0.208,1056.333333
0.209,1056.333333
0.21,1056
0.211,1056
0.212,1056
0.213,1056
0.214,1056
0.215,1056
0.216,1056
0.217,1056
0.218,1056
0.219,1056
0.22,1056
0.221,1056
0.222,1056
0.223,1056
0.224,1056
0.225,1056
0.226,1056
0.227,1056
0.228,1056
0.229,1056
0.23,1056
0.231,1056
0.232,1056
0.233,1056
0.234,1056
0.235,1056
0.236,1056
0.237,1056
0.238,1056
0.239,1056
0.24,1056
0.241,1056
0.242,1056
0.243,1056
0.244,1056
0.245,1056
0.246,1056
0.247,1056
0.248,1056
0.249,1056
0.25,1056
0.251,1056
0.252,1056
0.253,1056
0.254,1056
0.255,1056
0.256,1056
0.257,1056
0.258,1056
0.259,1056
0.26,1056
0.261,1056
0.262,1056
0.263,1056
0.264,1056
0.265,1056
0.266,1056
0.267,1056
0.268,1056
0.269,1056
0.27,1056
0.271,1056
0.272,1056
0.273,1056
0.274,1056
0.275,1056
0.276,1056
0.277,1056
0.278,1056
0.279,1056
0.28,1056
0.281,1056
0.282,1056
0.283,1056
0.284,1056
0.285,1056
0.286,1056
0.287,1056
0.288,1056
0.289,1056
0.29,1056
0.291,1056
0.292,1056
0.293,1056
0.294,1056
0.295,1056
0.296,1056
0.297,1056
0.298,1056
0.299,1056
0.3,1056
0.300989,1056
0.300989,1056
0.301,1056
0.302,1056
0.303,1056
0.304,1056
0.305,1056
0.306,1056
0.307,1056
0.308,1056
0.309,1056
0.31,1056
0.311,1056
0.312,1056
0.313,1056
0.314,1056
0.315,1056
0.316,1056
0.317,1056
0.318,1056
0.319,1056
0.32,1056
0.321,1056
0.322,1056
0.323,1056
0.324,1056
0.325,1056
0.326,1056
0.327,1056
0.328,1056
0.329,1056
0.33,1056
0.331,1056
0.332,1056
0.333,1056
0.334,1056
0.335,1056
0.336,1056
0.337,1056
0.338,1056
0.339,1056
0.34,1056
0.341,1056
0.342,1056
0.343,1056
0.344,1056
0.345,1056
0.346,1056
0.347,1056
0.348,1056
0.349,1056
0.35,1056
0.351,1056
0.352,1056
0.353,1056
0.354,1056
0.355,1056
0.356,1056
0.357,1056
0.358,1056
0.359,1056
0.36,1056
0.361,1056
0.362,1056
0.363,1056
0.364,1056
0.365,1056
0.366,1056
0.367,1056
0.368,1056
