time,Number_molcules_in_droplet
0,1058
0.000989,1058
0.000989,1058
0.001,1057
0.002,1057
0.003,1057
0.004,1057
0.005,1057
0.006,1057
0.007,1057
0.008,1057
0.009,1057
0.01,1057
0.011,1057
0.012,1057
0.013,1057
0.014,1057
0.015,1057
0.016,1057
0.017,1057
0.018,1057
0.019,1057
0.02,1057
0.021,1057
0.022,1057
0.023,1057
0.024,1057
0.025,1057
0.026,1057
0.027,1057
0.028,1057
0.029,1057
0.03,1057
0.031,1057
0.032,1057
0.033,1057
0.034,1057
0.035,1057
0.036,1057
0.037,1057
0.038,1057
0.039,1057
0.04,1057
0.041,1057
0.042,1057
0.043,1057
0.044,1057
0.045,1057
0.046,1057
0.047,1057
0.048,1057
0.049,1057
0.05,1057
0.051,1057
0.052,1057
0.053,1057
0.054,1057
0.055,1057
0.056,1057
0.057,1057
0.058,1057
0.059,1057
0.06,1057
0.061,1057
0.062,1057
0.063,1057
0.064,1057
0.065,1057
0.066,1057
0.067,1057
0.068,1057
0.069,1057
0.07,1057
0.071,1057
0.072,1057
0.073,1057
0.074,1057
0.075,1057
0.076,1057
0.077,1057
0.078,1057
0.079,1057
0.08,1057
0.081,1057
0.082,1057
0.083,1057
0.084,1057
0.085,1057
0.086,1057
0.087,1057
0.088,1057
0.089,1057
0.09,1057
0.091,1057
0.092,1057
0.093,1057
0.094,1057
0.095,1057
0.096,1057
0.097,1057
0.098,1057
0.099,1057
0.1,1057
0.100989,1057
0.100989,1057
0.101,1057
0.102,1057
0.103,1057
0.104,1057
0.105,1057
0.106,1057
0.107,1057
0.108,1057
0.109,1057
0.11,1057
0.111,1057
0.112,1057
0.113,1057
0.114,1057
0.115,1057
0.116,1057
0.117,1057
0.118,1057
0.119,1057
0.12,1057
0.121,1057
0.122,1057
0.123,1057
0.124,1057
0.125,1057
0.126,1057
0.127,1057
0.128,1057
0.129,1057
0.13,1057
0.131,1057
0.132,1057
0.133,1057
0.134,1057
0.135,1057
0.136,1057
0.137,1057
0.138,1057
0.139,1057
0.14,1057
0.141,1057
0.142,1057
0.143,1057
0.144,1057
0.145,1057
0.146,1057
0.147,1057
0.148,1057
0.149,1057
0.15,1057
0.151,1057
0.152,1057
0.153,1057
0.154,1057
0.155,1057
0.156,1057
0.157,1057
0.158,1057
0.159,1057
0.16,1057
0.161,1057
0.162,1057
0.163,1057
0.164,1057
0.165,1057
0.166,1057
0.167,1057
0.168,1057
0.169,1057
0.17,1057
0.171,1057
0.172,1057
0.173,1057
0.174,1057
0.175,1057
0.176,1057
0.177,1057
0.178,1057
0.179,1057
0.18,1057
0.181,1057
0.182,1057
0.183,1057
0.184,1057
0.185,1057
0.186,1057
0.187,1057
0.188,1057
0.189,1057
0.19,1057
0.191,1057
0.192,1057
0.193,1057
0.194,1057
0.195,1057
0.196,1057
0.197,1057
0.198,1057
0.199,1057
0.2,1057
0.200989,1057
0.200989,1057
0.201,1057
0.202,1057
0.203,1057
0.204,1057
0.205,1057
0.206,1057
0.207,1057
0.208,1057
0.209,1057
0.21,1057
0.211,1057
0.212,1057
0.213,1057
0.214,1057
0.215,1057
0.216,1057
0.217,1057
0.218,1057
0.219,1057
0.22,1057
0.221,1057
0.222,1057
0.223,1057
0.224,1057
0.225,1057
0.226,1057
0.227,1057
0.228,1057
0.229,1057
0.23,1057
0.231,1057
0.232,1057
0.233,1057
0.234,1057
0.235,1057
0.236,1057
0.237,1057
0.238,1057
0.239,1057
0.24,1057
0.241,1057
0.242,1057
0.243,1057
0.244,1057
0.245,1057
0.246,1057
0.247,1057
0.248,1057
0.249,1057
0.25,1057
0.251,1057
0.252,1057
0.253,1057
0.254,1057
0.255,1057
0.256,1057
0.257,1056.666667
0.258,1056.666667
0.259,1056.666667
0.26,1056.666667
0.261,1056.666667
0.262,1056.666667
0.263,1056.666667
0.264,1056.666667
0.265,1056.666667
0.266,1056.666667
0.267,1056.666667
0.268,1056.666667
0.269,1056.666667
0.27,1056.666667
0.271,1056.666667
0.272,1056.666667
0.273,1056.666667
0.274,1056.666667
0.275,1056.666667
0.276,1056.666667
0.277,1056.666667
0.278,1056.666667
0.279,1056.666667
0.28,1056.666667
0.281,1056.666667
0.282,1056.666667
0.283,1056.666667
0.284,1056.666667
0.285,1056.666667
0.286,1056.666667
0.287,1056.666667
0.288,1056.666667
0.289,1056.666667
0.29,1056.666667
0.291,1056.666667
0.292,1056.666667
0.293,1056.666667
0.294,1056.666667
0.295,1056.666667
0.296,1056.666667
0.297,1056.666667
0.298,1056.666667
0.299,1056.666667
0.3,1056.666667
0.300989,1056.666667
0.300989,1056.666667
0.301,1056.666667
0.302,1056.666667
0.303,1056.666667
0.304,1056.666667
0.305,1056.666667
0.306,1056.666667
0.307,1056.666667
0.308,1056.666667
0.309,1056.666667
0.31,1056.666667
0.311,1056.666667
0.312,1056.666667
0.313,1056.666667
0.314,1056.666667
0.315,1056.666667
0.316,1056.666667
0.317,1056.666667
0.318,1056.666667
0.319,1056.666667
0.32,1056.666667
0.321,1056.666667
0.322,1056.666667
0.323,1056.666667
0.324,1056.666667
0.325,1056.666667
0.326,1056.666667
0.327,1056.666667
0.328,1056.666667
0.329,1056.333333
0.33,1056.333333
0.331,1056.333333
0.332,1056.333333
0.333,1056.333333
0.334,1056.333333
0.335,1056.333333
0.336,1056.333333
0.337,1056.333333
0.338,1056.333333
0.339,1056
0.34,1056
0.341,1056
0.342,1056
0.343,1056
0.344,1056
0.345,1056
0.346,1056
0.347,1056
0.348,1056
0.349,1056
0.35,1056
0.351,1056
0.352,1056
0.353,1056
0.354,1056
0.355,1056
0.356,1056
0.357,1056
0.358,1056
0.359,1056
0.36,1056
0.361,1056
0.362,1056
0.363,1056
0.364,1056
0.365,1056
0.366,1056
0.367,1056
0.368,1056
0.369,1056
0.37,1056
0.371,1056
0.372,1056
0.373,1056
0.374,1056
0.375,1056
0.376,1056
0.377,1056
0.378,1056
0.379,1056
0.38,1056
0.381,1056
0.382,1056
0.383,1056
0.384,1056
0.385,1056
0.386,1056
0.387,1056
0.388,1056
0.389,1056
0.39,1056
0.391,1056
0.392,1056
0.393,1056
0.394,1056
0.395,1056
0.396,1056
0.397,1056
0.398,1056
0.399,1056
0.4,1056
0.400989,1056
0.400989,1056
0.401,1056
0.402,1056
0.403,1056
0.404,1056
0.405,1056
0.406,1056
0.407,1056
0.408,1056
0.409,1056
0.41,1056
0.411,1056
0.412,1056
0.413,1056
0.414,1056
0.415,1056
0.416,1056
